Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,How many years have you been practicing? ,What's your experience with telemedicine during the COVID Pandemic?,In what setting did you use Telemedicine? ,,,,,Which telemedicine platform services did you use? ,,,,,,,,,,,How satisfied are you with the telemedicine services provided? ,Did you have any technical issues during your use of telemedicine services or encountered any barriers? ,,,,,,,,,,How likely are to incorporate telemedicine in your daily practice? ,How many of these Telemedicine options are you familiar with? ,,,,,,,,,,,,,,,,"Do you think telemedicine had an impact on patient care? If Yes or No, How?",,Do you have any feedback on how telemedicine could improve and what is most important to you.  
,,,,,,,,,Open-Ended Response,Response,Outpatient,Inpatient,Communication with family,Follow-up Appointments,Other (please specify),Doxy.me,Zoom,Doximity,Cisco Webex,Microsoft Teams,Skype,Facetime,Google Hangout or Google Meet,Aspire,Teladoc,Other (please specify),Response,Difficulty with Application or Web interface,Difficulty with Login,Internet or WIFI issues,Poor Connection during call,Poor Audio during call,Poor Video during call,Difficulties on the patients side,Patients had difficulties with access,No issues,Other (please specify),Response,Doxy.me,Zoom for Healthcare,Doximity,Cisco Webex Meetings / Webex Teams,Microsoft Teams,Skype,Facetime,Google Hangouts or Google Meet,Updox,VSee,Amazon Chime,GoToMeeting,Spruce Health Care Messenger,Aspire,Teladoc,Other (please specify),Yes,No,Open-Ended Response
12100140506,393825455,10/22/2020 11:34,10/22/2020 11:37,67.241.170.152,,,,,25,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,Doxy.me,Zoom,Doximity,,,,Facetime,,,,,4,Difficulty with Application or Web interface,Difficulty with Login,,Poor Connection during call,Poor Audio during call,Poor Video during call,Difficulties on the patients side,Patients had difficulties with access,,,5 - Definitely would use,Doxy.me,Zoom for Healthcare,Doximity,,,,Facetime,,,,,,,,,,"It has been critical to ensure continued care for patients when they could not leave their homes, for routine issues that generally do not require a PE I think they are more convenient for patients and can be well received.",,"We should have a single platform which is easy for patients.  We need work flows that incorporate all members of the health care team, not just the provider.  We need technology that s readily available."
12099412711,393825455,10/22/2020 7:57,10/22/2020 7:59,72.65.56.182,,,,,22,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,Doxy.me,,,,,,Facetime,,,,,5 - Extremely Satisfied,,,,,,Poor Video during call,,,,,5 - Definitely would use,Doxy.me,,,,,,Facetime,,,,,,,,,,Yes.  It is extremely impactful for follow up visit.,,
12091052920,393825455,10/19/2020 23:04,10/19/2020 23:06,68.133.38.45,,,,,15,I started using telemedicine due to the COVID Pandemic,,,,,Er work,,Zoom,,,,,,,,,,2,Difficulty with Application or Web interface,,Internet or WIFI issues,Poor Connection during call,,,,Patients had difficulties with access,,,2,,Zoom for Healthcare,,,,,Facetime,,,,,,,,,,Less personal.,,
12088669329,393825455,10/19/2020 9:00,10/19/2020 9:01,68.133.67.234,,,,,8,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,,Zoom,,,,,,,,,Medent Telemed platform,4,,,Internet or WIFI issues,Poor Connection during call,,Poor Video during call,Difficulties on the patients side,Patients had difficulties with access,,,5 - Definitely would use,,Zoom for Healthcare,,,,,,,,,,,,,,,It enabled me to keep treating people,,"Socializing patients to be in wifi, at home, with tiem dedicated to apt "
12085578575,393825455,10/17/2020 15:46,10/17/2020 16:04,72.231.179.89,,,,,18,I started using telemedicine due to the COVID Pandemic,Outpatient,,Communication with family,Follow-up Appointments,,Doxy.me,Zoom,,,,,,,,,,4,Difficulty with Application or Web interface,,Internet or WIFI issues,Poor Connection during call,Poor Audio during call,Poor Video during call,Difficulties on the patients side,Patients had difficulties with access,,These difficulties occurred mainly with Zoom and improved when converted to Doxy.me,4,Doxy.me,Zoom for Healthcare,Doximity,Cisco Webex Meetings / Webex Teams,Microsoft Teams,Skype,Facetime,Google Hangouts or Google Meet,,,,GoToMeeting,,,,,"It was very useful when patients were uncomfortable coming into the office during pandemic, kept the link needed for patient access to care.",,"Being able to link quickly and getting patients to link quickly is needed to resolve the biggest barrier.  Also, need to have a link that is secure.  It should be a link that is not direct to the provider, but thru a platform that is secure.  Staff should be able to assist patient appropriately so provider is not utilizing precious time."
12083963467,393825455,10/16/2020 18:16,10/16/2020 18:19,74.77.125.158,,,,,23 years,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,Doxy.me,,,,,,,,,,,3,,,,,,,,,No issues,,1 - Would not use,Doxy.me,,,,,,,,,,,,,,Teladoc,,Poor evaluations.,,Use only when no other option exists.
12082556570,393825455,10/16/2020 10:07,10/16/2020 10:13,24.169.93.170,,,,,13,I started using telemedicine due to the COVID Pandemic,Outpatient,Inpatient,,,,,,,,,,,,,,I'm a radiologist so I used the same PACs products just on a home workstation.,5 - Extremely Satisfied,,,Internet or WIFI issues,,,,,,,,4,,Zoom for Healthcare,Doximity,Cisco Webex Meetings / Webex Teams,,Skype,Facetime,Google Hangouts or Google Meet,,,,,,,,,,"I was doing my exact job, just different location. ",
12076055035,393825455,10/14/2020 12:59,10/14/2020 13:01,173.225.61.12,,,,,3,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,,,Doximity,,,,,,,,,4,,,,,,,,,No issues,,4,,Zoom for Healthcare,Doximity,,Microsoft Teams,Skype,Facetime,,,,,,,,,,Convenience ,,Integration into EMR 
12075131429,393825455,10/14/2020 8:36,10/14/2020 8:37,68.133.75.109,,,,,7,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,,Zoom,,,,,Facetime,,,,,3,,,,Poor Connection during call,Poor Audio during call,Poor Video during call,Difficulties on the patients side,Patients had difficulties with access,,,3,,Zoom for Healthcare,,Cisco Webex Meetings / Webex Teams,Microsoft Teams,Skype,Facetime,,,,,GoToMeeting,,,,,,,
12075072203,393825455,10/14/2020 8:16,10/14/2020 8:17,161.136.4.151,,,,,19,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,,Zoom,,,,,,,,,,3,,,Internet or WIFI issues,,,,,,,,3,,Zoom for Healthcare,,,,,,,,,,,,,,,Increasing access to a provider,,
12073822783,393825455,10/13/2020 20:36,10/13/2020 20:45,98.118.158.10,,,,,6,I started using telemedicine due to the COVID Pandemic,Outpatient,,Communication with family,Follow-up Appointments,,,Zoom,,,,,Facetime,,,,MedEnt,5 - Extremely Satisfied,,Difficulty with Login,Internet or WIFI issues,,Poor Audio during call,,,,,,5 - Definitely would use,,Zoom for Healthcare,Doximity,Cisco Webex Meetings / Webex Teams,,Skype,Facetime,Google Hangouts or Google Meet,,,,GoToMeeting,,,,,Access,,Being able to be more flexible with scheduling has been great. It is a lot easier for patients especially those living quite a distance from my office.
